number,name,notice,count,measure,additive,allergen,cal,protein,fat,carbohydrates,salt
"18001","野菜炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18002","もやし中華炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","27.6","2.053","1.407","1.720","0.11"
"18003","メンチカツ","4℃以下で保存して下さい。 ","","(１食当たり)","","乳成分・小麦","216.4","5.880","15.100","14.520","0.78"
"18004","麻婆茄子（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.8","1.692","0.922","7.812","1.10"
"18005","骨なし秋鮭","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18006","茄子の甘辛炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","51.5","1.697","0.140","12.279","0.87"
"18007","鶏の唐揚げ","4℃以下で保存して下さい。 ","","(１食当たり)","","","50.6","7.552","0.850","3.494","0.77"
"18008","いんげん","4℃以下で保存して下さい。 ","","(１食当たり)","","","14.7","0.407","0.205","2.942","0.01"
"18009","焼肉風野菜炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","77.5","1.781","1.567","14.998","1.72"
"18010","和風スパゲティ","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","47.8","1.447","0.732","8.492","0.31"
"18011","ほうれん草ピーナツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","30.4","1.378","1.733","2.308","0.00"
"18012","釜飯（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","66.0","3.844","0.538","12.040","1.35"
"18013","さつま芋甘煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","33.2","2.043","2.045","1.787","0.02"
"","","","","","","","","","","",""
"18015","白身フライ","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","86.4","11.340","0.840","7.700","0.91"
"18016","タルタルソース","4℃以下で保存して下さい。 ","","(１食当たり)","","","27.6","0.912","2.018","1.691","0.48"
"18017","チンジャオロース","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18018","和風マカロニ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","47.8","1.447","0.732","8.492","0.31"
"18019","小松菜胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","22.3","1.982","1.021","1.436","0.05"
"18020","たまねぎの炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","47.7","0.841","3.087","3.907","0.19"
"18021","野菜コロッケ","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","74.0","5.800","1.350","9.650","0.45"
"18022","菜の花お浸し","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18023","カリフラワーゆかり和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18024","いんげん胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18025","とんかつ","4℃以下で保存して下さい。 ","","(１食当たり)","","","66.0","3.844","0.538","12.040","1.35"
"18026","フライのタレ","4℃以下で保存して下さい。 ","","(１食当たり)","","","30.4","1.378","1.733","2.308","0.00"
"18027","キャベツ味噌炒め（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","66.0","3.844","0.538","12.040","1.35"
"18028","大根煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18029","たまねぎの卵とじ","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","53.6","7.762","0.870","4.154","0.77"
"18030","豚丼","4℃以下で保存して下さい。 ","","(１食当たり)","","","74.0","5.800","1.350","9.650","0.45"
"18031","カリフラワー辛子風味","4℃以下で保存して下さい。 ","","(１食当たり)","","","47.8","1.447","0.732","8.492","0.31"
"18032","味噌汁（焼き麩・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.06","1.725","0.965","1.021","0.025"
"18033","豚丼","4℃以下で保存して下さい。 ","","(１食当たり)","","","131.2","6.440","5.083","13.182","1.20"
"18034","回鍋肉（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18035","ほうれん草ピーナッツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18036","衣がサクサクコロッケ","4℃以下で保存して下さい。 ","","(１食当たり)","","","66.0","3.844","0.538","12.040","1.35"
"18037","ちくわと枝豆の醤油炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18038","ぶりの塩焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18039","ほうれん草おかか和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18040","塩焼きそば（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","53.6","7.762","0.870","4.154","0.77"
"18041","ブロッコリーカツオ節和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18042","ほうれん草ピーナツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","47.8","1.447","0.732","8.492","0.31"
"18043","カリフラワー和え物","4℃以下で保存して下さい。 ","","(１食当たり)","","","39.8","1.490","0.078","8.863","0.29"
"18044","ビーフン中華炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","53.6","7.762","0.870","4.154","0.77"
"18045","キャベツ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","47.8","1.447","0.732","8.492","0.31"
"18046","肉じゃが（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","323.4","7.520","23.136","18.283","2.14"
"18047","白菜煮びたし","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.5","1.378","1.733","0.410","0.00"
"18048","スパゲティコンソメ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18049","栗かぼちゃコロッケ","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18050","赤魚の煮付け","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18051","味噌汁（切干大根・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18052","カレイの煮付け","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18053","昔ながらのコロッケ","4℃以下で保存して下さい。 ","","(１食当たり)","","","54.2","1.182","0.061","12.519","0.43"
"18054","菜の花お浸し","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18055","白身魚の塩コショウ焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18056","いんげん胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","22.3","1.982","1.021","1.436","0.05"
"18057","ごぼう炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18058","さばの味噌煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","54.2","1.182","0.061","12.519","0.43"
"18059","大根煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18060","スクランブルエッグ","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18061","カリフラワー","4℃以下で保存して下さい。 ","","(１食当たり)","","","14.3","0.832","0.055","3.12","0.33"
"18062","味噌汁（玉ねぎ・油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18063","野菜炒めポン酢風","4℃以下で保存して下さい。 ","","(１食当たり)","","","44.9","1.626","0.246","10.036","2.19"
"18064","カレイの煮付け","4℃以下で保存して下さい。 ","","(１食当たり)","","","77.5","1.781","1.567","14.998","1.72"
"18065","麻婆豆腐（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","91.2","7.272","4.992","3.972","1.07"
"18066","三色ピーマンおかか和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","25.5","1.269","0.530","5.276","0.31"
"18067","こんにゃくきんぴら","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18068","三色ピーマン炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","16.7","0.275","0.870","2.265","0.27"
"18069","厚揚げのオイスター炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","89.2","4.186","2.433","12.864","1.51"
"18070","小松菜ゴマ和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","25.5","1.269","0.530","5.276","0.31"
"18071","小松菜お浸し","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18072","味噌汁（麩・あげ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","16.7","0.275","0.870","2.265","0.27"
"18073","千切り煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18074","味噌汁（焼き麩・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18075","ソース焼きそば（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","44.9","1.626","0.246","10.036","2.19"
"18076","治部煮（椎茸抜き）","4℃以下で保存して下さい。 ","","(１食当たり)","","","25.5","1.269","0.530","5.276","0.31"
"18077","シチュー（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","89.2","4.186","2.433","12.864","1.51"
"18078","チンジャオロース","4℃以下で保存して下さい。 ","","(１食当たり)","","","89.2","4.186","2.433","12.864","1.51"
"18079","おくらカツオ節和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18080","お吸い物（麩・油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18081","玉ねぎの卵丼","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","53.6","7.762","0.870","4.154","0.77"
"18082","あじの塩焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","","77.5","1.781","1.567","14.998","1.72"
"18083","さつま揚げ卵とじ","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","89.2","4.186","2.433","12.864","1.51"
"18084","茄子の甘辛炒め（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","44.9","1.626","0.246","10.036","2.19"
"18085","さばのカレー焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","","77.5","1.781","1.567","14.998","1.72"
"18086","白菜煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18087","つきこんきんぴら","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18088","八宝菜（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","53.6","7.762","0.870","4.154","0.77"
"18089","八宝菜（椎茸抜き）","4℃以下で保存して下さい。 ","","(１食当たり)","","","89.2","4.186","2.433","12.864","1.51"
"18090","八宝菜（うずらなし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","77.5","1.781","1.567","14.998","1.72"
"18091","白菜と竹輪のうま煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18092","コンソメスープ","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"18093","きのこあん（椎茸なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18094","厚揚げ豆腐煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18095","春雨中華炒め（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18096","味噌汁（白菜・あげ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"18097","ほうれんそう胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","22.3","1.982","1.021","1.436","0.05"
"18098","煮物（里芋・小松菜）","4℃以下で保存して下さい。 ","","(１食当たり)","","","93.2","2.618","7.316","4.109","0.52"
"18099","かぶの煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"18100","さつま揚げ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","87.8","3.198","5.455","6.295","1.23"
"18101","たけのこオイスター炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","89.2","4.186","2.433","12.864","1.51"
"18102","さばの竜田揚げ","4℃以下で保存して下さい。 ","","(１食当たり)","","","100.5","0.962","7.655","6.991","0.41"
"18103","かき揚げ","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"18104","味噌汁（玉ねぎ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"18105","鶏じゃが（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","100.5","0.962","7.655","6.991","0.41"
"18106","味噌汁（かまぼこ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"18107","味噌汁（麩）","4℃以下で保存して下さい。 ","","(１食当たり)","","","4.8","0.600","0.045","0.485","0.13"
"18108","小松菜梅和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"18109","味噌汁（菜の花・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","4.8","0.600","0.045","0.485","0.13"
"18110","赤パプリカとキャベツの焼肉風","4℃以下で保存して下さい。 ","","(１食当たり)","","","93.2","2.618","7.316","4.109","0.52"
"18111","ほうれん草とちくわの辛子和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"18112","じゃが芋煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"18113","カリフラワーからし風味","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18114","チンゲン菜中華炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"18115","里芋煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18116","ちくわの胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","41.2","0.943","0.767","7.566","0.74"
"18117","胡瓜のごま和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","41.2","0.943","0.767","7.566","0.74"
"18118","栗かぼちゃコロッケ","4℃以下で保存して下さい。 ","","(１食当たり)","","","100.5","0.962","7.655","6.991","0.41"
"18119","こんにゃくきんぴら","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"18120","カレーライス（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","286.1","4.960","19.970","9.960","2.24"
"18121","玉子丼","4℃以下で保存して下さい。 ","","(１食当たり)","","","122.2","2.020","8.332","9.161","0.44"
"18122","カレイの煮付け","4℃以下で保存して下さい。 ","","(１食当たり)","","","48.8","7.498","0.832","3.098","0.77"
"18123","目玉焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","41.2","0.943","0.767","7.566","0.74"
"18124","三色丼（ダイスキャロット）","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"18125","卵スープ","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","122.2","2.020","8.332","9.161","0.44"
"18126","牛丼","4℃以下で保存して下さい。 ","","(１食当たり)","","","122.2","2.020","8.332","9.161","0.44"
"18127","みそ汁（もやし・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18128","かぼちゃ煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"18129","いんげんとベーコンの炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"18130","みかん缶","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18131","みそ汁（白菜・油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18132","ごぼうのしぐれ煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","122.2","2.020","8.332","9.161","0.44"
"18133","みそ汁（大根葉・油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18134","みそ汁（白菜・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","5.7","0.318","0.042","1.348","0.01"
"18135","カリフラワー炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18136","小松菜煮びたし","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"18137","インゲン炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18138","骨なし秋鮭","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18139","厚焼き玉子","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","52.2","0.992","3.112","4.754","0.22"
"18140","キャベツごま和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","38.2","2.838","2.498","0.25","0.02"
"18141","五目豆腐炒め物（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"18142","五目豆腐炒め物(椎茸なし)","4℃以下で保存して下さい。 ","","(１食当たり)","","","77.5","1.781","1.567","14.998","1.72"
"18143","切干大根煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"18144","ピーマンともやし炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"18145","枝豆の醤油炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18146","野菜いなり","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18147","大根煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"18148","椎茸煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18149","れんこん煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"18150","桃缶","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18151","ほうれんそうと大豆煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"18152","はんぺん煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18153","味噌汁（油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"18154","肉じゃが（肉抜き）","4℃以下で保存して下さい。 ","","(１食当たり)","","","286.1","4.960","19.970","9.960","2.24"
"18155","さつま芋甘煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"18156","トマトソース","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18157","味噌汁（チンゲン菜）","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"18158","味噌汁（巻き麩）","4℃以下で保存して下さい。 ","","(１食当たり)","","","4.8","0.600","0.045","0.485","0.13"
"18159","かぶ酢の物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"18160","ピーマンの炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18161","わかめ","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"18162","里芋胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","22.3","1.982","1.021","1.436","0.05"
"18163","えびかつ","4℃以下で保存して下さい。 ","","(１食当たり)","","卵・小麦・えび・かに","49.5","4.100","2.150","4.050","0.55"
"18164","ピーマンお浸し（はんぺん抜き）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18165","白身魚天麩羅","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"18166","やわらかイカ天ぷら","4℃以下で保存して下さい。 ","","(１食当たり)","","","56.7","5.0","3.24","1.89","0.12"
"18167","ハムの炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18168","キャベツ入り卵","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","56.7","5.0","3.24","1.89","0.12"
"18169","小松菜煮びたし","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18170","そぼろ丼（鮭）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18171","たけのこオイスター炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","296.5","9.593","24.138","7.430","1.44"
"18172","牛肉オイスターソース炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","243.2","8.254","20.124","6.230","1.25"
"18173","鶏肉塩コショウ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","179.8","13.193","10.271","5.657","1.05"
"18174","えびのチリソース","4℃以下で保存して下さい。 ","","(１食当たり)","","","33.4","1.778","2.160","2.296","0.06"
"18175","きんぴらごぼう","4℃以下で保存して下さい。 ","","(１食当たり)","","","18.3","1.121","0.046","3.977","0.26"
"18176","ブロッコリーツナサラダ","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18177","金胡麻ドレッシング","4℃以下で保存して下さい。 ","","(１食当たり)","","","6.9","0.203","0.000","1.435","0.48"
"18178","白菜のうま煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18179","もやし炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"18180","お吸い物（菜の花・カニカマ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","6.9","0.203","0.000","1.435","0.48"
"18181","小松菜煮物（団子なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","112.8","5.254","2.488","9.236","0.98"
"18182","しょうゆ","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","","2.8","0.360","0.080","0.836","0.48"
"18183","カリフラワー土佐煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.9","1.784","1.811","4.265","0.48"
"18184","味噌汁（油揚げ・ほうれん草）","4℃以下で保存して下さい。 ","","(１食当たり)","","","5.9","0.435","0.085","1.095","0.03"
"18185","いんげん炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","26.4","1.474","1.124","3.135","0.59"
"18186","味噌汁（小松菜・玉ねぎ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.8","1.040","0.070","0.970","0.16"
"18187","三色丼（鮭）","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"18188","ナポリタン（肉なし）メイン","4℃以下で保存して下さい。 ","","(１食当たり)","","","187.7","13.400","10.319","7.011","1.27"
"18189","じゃが芋煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18190","炒り鶏（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","194.9","11.572","12.395","8.957","0.90"
"18191","キャベツコンソメ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","25.2","1.290","1.735","1.115","0.00"
"18192","味噌汁（菜の花・玉ねぎ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","24.6","0.585","0.155","5.570","0.02"
"18193","炒り豆腐","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","158.4","4.240","1.360","30.720","0.32"
"18194","いんげんカニカマ和え物","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18195","白身魚コショウ焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","","50.6","7.552","0.850","3.494","0.77"
"18196","チンゲン菜お浸し（はんぺん無し）","4℃以下で保存して下さい。 ","","(１食当たり)","","","32.6","1.778","1.793","2.494","0.36"
"18197","しめじのオイスター","4℃以下で保存して下さい。 ","","(１食当たり)","","","296.5","9.593","24.138","7.430","1.44"
"18198","茄子のみりん炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"18199","柳川もどき（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","122.2","2.020","8.332","9.161","0.44"
"18200","味噌汁（ほうれん草・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","23.5","1.305","1.750","0.710","0.00"
"18201","青菜と枝豆の醤油炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","36.3","1.906","2.177","2.609","0.16"
"18202","いんげんきんぴら","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","29.3","0.982","0.994","4.711","0.29"
"18203","ぶりのカレー焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","","156.2","12.929","10.612","0.501","0.35"
"18204","白菜辛子和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","10.8","0.565","0.075","2.439","0.02"
"18205","キャベツ甘辛炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","112.8","5.254","2.488","9.236","0.98"
"18206","炒り豆腐（卵なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","76.3","3.032","1.851","12.457","1.63"
"18207","たけのこ煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.6","0.537","0.545","8.150","0.22"
"18208","すき焼(肉なし)","4℃以下で保存して下さい。 ","","(１食当たり)","","","122.2","2.020","8.332","9.161","0.44"
"18209","焼き麩","4℃以下で保存して下さい。 ","","(１食当たり)","","","10.8","0.565","0.075","2.439","0.02"
"18210","そば（あげ・かまぼこ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","39.3","1.417","3.273","1.239","0.65"
"18211","カリフラワーベーコン炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.6","0.537","0.545","8.150","0.22"
"18212","野菜ケチャップ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","374.5","12.568","28.467","13.639","1.32"
"18213","茄子の炒めもの","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.3","1.906","2.177","2.609","0.16"
"18214","三色ピーマンともやし油炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","29.3","0.982","0.994","4.711","0.29"
"18215","味噌汁（菜の花・かまぼこ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18216","汁具（菜の花）","4℃以下で保存して下さい。 ","","(１食当たり)","","","10.8","0.565","0.075","2.439","0.02"
"18217","味噌汁（菜の花・かまぼこ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","14.7","0.407","0.205","2.942","0.01"
"18218","きのこ丼","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","100.4","3.452","1.287","18.857","2.39"
