number,name,notice,count,measure,additive,allergen,cal,protein,fat,carbohydrates,salt
"28318","ごぼう挽肉炒め","4℃以下で保存して下さい。 ","","(１食当たり)","pH調整剤　乳化剤　酸味料、保存料(アルコール)","小麦","31.4","0.725","0.099","7.524","0.37"
"28319","チキンカレーライス","4℃以下で保存して下さい。 ","","(１食当たり)","","","234.1","3.104","12.980","17.426","1.86"
"28320","さわら塩焼き","4℃以下で保存して下さい。 ","","(１食当たり)","pH調整剤　調味料(アミノ酸等)　酵素","","108.4","12.100","5.820","0.560","0.40"
"28321","こんにゃく煮物","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","小麦","14.9","0.819","0.107","3.071","0.43"
"28322","照り焼きハンバーグ","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)、pH調整剤　調味料(アミノ酸等)　酵素","小麦","153.4","30.538","8.240","11.342","1.14"
"28323","照り焼きのたれ","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","小麦","25.3","0.253","0.001","5.683","0.51"
"28324","小松菜のソテー( きのこ無）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","","12.9","0.738","0.687","1.394","0.37"
"28325","豚肉オイスター炒め(きのこ無）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)、pH調整剤　調味料(アミノ酸等)　酵素","小麦","314.3","11.510","24.522","8.544","1.70"
"28326","ケチャップ","4℃以下で保存して下さい。 ","","(１食当たり)","","","6.1","0.08","0.01","1.38","0.16"
"28327","キャベツ味噌炒め","4℃以下で保存して下さい。 ","","(１食当たり)","アルコール(酒精)、保存料(アルコール)","小麦","106.7","1.376","6.655","10.791","0.88"
"28328","和風スパゲティー(きのこ無)","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","62.5","1.814","1.874","9.064","0.55"
"28329","お好み焼き(2個)","4℃以下で保存して下さい。 ","","(１食当たり)","","卵・小麦","43.8","1.740","1.080","6.660","0.12"
"28330","お好みソース","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","19.1","0.285","0.000","4.530","0.72"
"28331","すき焼き(きのこ無)","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)、pH調整剤　調味料(アミノ酸等)　酵素","小麦","201.6","6.528","14.589","9.756","1.4"
"28332","インゲンピーナツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","酸化防止剤(ビタミンE)","小麦、落花生","25.0","1.218","1.205","3.025","0.30"
"28333","みそ汁（なのはな・にんじん）","4℃以下で保存して下さい。 ","","(１食当たり)","","","6.8","0.700","0.040","1.280","0.01"
"28334","ハンバーグ","4℃以下で保存して下さい。 ","","(１食当たり)","","","80.4","4.788","4.224","4.428","0.45"
"28335","菜の花おかか節和え","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","小麦","26.0","2.594","0.058","4.752","0.54"
"28336","ミックスパプリカソテー(きのこ無)","4℃以下で保存して下さい。 ","","(１食当たり)","還元澱粉分解物","乳成分","19.4","0.355","0.890","2.925","0.27"
"28337","みそ汁（あげ・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.4","1.932","2.772","0.872","0.01"
"28338","みそ汁（白菜・玉ねぎ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","5.5","0.310","0.035","1.235","0.00"
"28339","キャベツと人参サラダ","4℃以下で保存して下さい。 ","","(１食当たり)","","","11.7","0.449","0.102","2.706","0.02"
"28340","含め煮( 肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","小麦","27.7","0.949","0.456","5.631","0.45"
"28341","含め煮(きのこ無)","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)、pH調整剤　調味料(アミノ酸等)　酵素","小麦","85.7","5.027","5.152","4.172","0.44"
"28342","豚とたまねぎの炒め物(生姜無)","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)、pH調整剤　調味料(アミノ酸等)　酵素","小麦","357.5","12.125","26.631","14.432","1.76"
"28343","ポークシチュー風（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","乳成分、小麦","142.2","3.888","3.733","23.958","1.02"
"28344","鶏肉酢豚風具(きのこ無)","4℃以下で保存して下さい。 ","","(１食当たり)","","","101.8","0.640","8.055","6.591","0.50"
"28345","小松菜のソテー(肉なし)","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","","15.4","0.919","0.889","1.658","0.48"
"28346","小松菜のソテー(きのこ無)","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","","12.9","0.738","0.687","1.394","0.37"
"28347","小松菜と春雨のソテー","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)、還元澱粉分解物","乳成分","27.8","0.674","0.851","4.738","0.37"
"28348","厚揚げ煮","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","小麦","66.3","4.479","3.999","2.912","0.46"
"28349","ラーメン(コーン)","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.8","0.580","0.300","3.880","0.00"
"28350","もやしボイル","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.2","0.834","0.006","1.425","0.00"
"28351","みそ汁具（キャベツ・油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.5","1.337","1.531","1.003","0.00"
"28352","根菜入り鶏つくね(2個)","4℃以下で保存して下さい。 ","","(１食当たり)","","卵、乳成分、小麦","78.0","5.160","2.940","7.380","0.68"
"28353","筑前煮( 肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","小麦","92.7","2.528","1.696","18.441","1.44"
"28354","筑前煮( きのこ無し）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)、pH調整剤　調味料(アミノ酸等)　酵素","小麦","173.4","8.983","9.499","12.308","0.78"
"28355","菜の花ピーナツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","酸化防止剤(ビタミンE)、還元澱粉分解物","乳成分、小麦、落花生","28.3","2.894","1.079","3.084","0.27"
"28356","たらの塩焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.8","10.440","0.600","0.060","0.37"
"28357","いんげんと切干大根炒め","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","小麦","37.5","1.116","1.037","6.566","0.37"
"28358","ビーフンコンソメ炒め(肉なし)","4℃以下で保存して下さい。 ","","(１食当たり)","還元澱粉分解物","乳成分・小麦","41.7","0.835","0.783","7.796","0.84"
"28359","みそ汁具（キャベツ・油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.5","1.337","1.531","1.003","0.00"
"28360","三色ピーマン炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","17.8","0.353","0.728","2.921","0.21"
"28361","野菜きんぴら","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","28.9","1.002","0.898","4.847","0.28"
"28362","ほうれん草炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","pH調整剤　調味料(アミノ酸等)　酵素","","32.5","1.648","2.177","2.429","0.60"
"28363","からし菜からし炒め","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）、pH調整剤　調味料(アミノ酸等)　酵素","小麦","22.8","1.819","0.470","3.692","0.39"
"28364","炒り豆腐(卵・ごぼう無）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","110.9","6.627","3.671","14.245","1.65"
"28365","チンジャオロース(肉なし)","4℃以下で保存して下さい。 ","","(１食当たり)","pH調整剤　調味料(アミノ酸等)　酵素","小麦","19.2","0.911","0.363","3.685","1.27"
"28366","青菜入り煮物","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","34.1","2.056","1.661","3.589","0.32"
"28367","牛肉とごぼうのしぐれ煮","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）、pH調整剤　調味料(アミノ酸等)　酵素","小麦","206.0","6.261","15.854","7.851","0.90"
"28368","みそ汁（人参・大根葉）","4℃以下で保存して下さい。 ","","(１食当たり)","","","5.4","0.260","0.040","1.170","0.02"
"28369","チキンカツ60","4℃以下で保存して下さい。 ","","(１食当たり)","","","121.8","6.900","4.920","11.820","0.72"
"28370","キャベツの卵とじ","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","卵・小麦","75.2","3.917","2.282","10.225","0.92"
